,0,1,2,3
0,"Never as my father is farmer and he is doing very hard work, but somtime it's very difficult to recover agri's cost due to natural disaster.",Negative,0.9238404179882194,"[('Negative', 0.92384041798821936), ('', 0.076159582011780622)]"
1,"For these boys in Sudan, water is life. The region is suffering from a severe drought, made worse by the effects of climate change.",Negative,0.9186732563845401,"[('Negative', 0.91867325638454012), ('', 0.081326743615459829)]"
2,20million people are facing devastating food and water shortages due to sustained drought and conflicts.,Negative,0.9148092992693163,"[('Negative', 0.91480929926931631), ('', 0.085190700730683661)]"
3,HEATWAVE BERLER ONLY GETS ABOUT THREE LIKES FOR HIS WEATHER TWEETS AND IT HONESTLY BREAKS MY FUCKING HEART,Negative,0.906679276354069,"[('Negative', 0.90667927635406897), ('', 0.09332072364593097)]"
4,"The deadliest heat wave, drought, wildfire, flood, hurricane, and tornado in US history ALL occurred when CO2 was  350 ppm.",Negative,0.8959605214936862,"[('Negative', 0.89596052149368621), ('', 0.10403947850631379)]"
5,Half of Somalia population is facing devastating food and water shortages. Nearly 3 million need urgent life-saving aid. ,Negative,0.8746024924503121,"[('Negative', 0.87460249245031207), ('', 0.1253975075496879)]"
6,Farmers are struggling to figure out ways to cope with severe drought.Climate change could make it worse in the future,Negative,0.8641477392822832,"[('Negative', 0.86414773928228317), ('', 0.13585226071771686)]"
7,"""ClimateChange is not happening TO us, but FOR us. It begs us to work together to make a better world.",Negative,0.8625402193208932,"[('Negative', 0.8625402193208932), ('', 0.13745978067910677)]"
8,How climate change is making drought and humanitarian disaster worse in EastAfrica,Negative,0.8375643609650493,"[('Negative', 0.83756436096504927), ('', 0.16243563903495076)]"
9,Severe drought is putting many children at risk climate change is already happening and children are suffering from it climate change,Negative,0.830536570625799,"[('Negative', 0.830536570625799), ('', 0.169463429374201)]"
10,"Climate march this Saturday be there if you don't wanna keep dying of drought, superstorms, wildfires, rising sea levels, 6th mass extinctio",Negative,0.8139726675482659,"[('Negative', 0.81397266754826592), ('', 0.18602733245173408)]"
11,Worst of severe storm exiting DC and reaching Greenbelt. Looks to pass just north of Bowie ,Negative,0.7936973727902796,"[('Negative', 0.79369737279027963), ('', 0.20630262720972037)]"
